falo, I speak
procurá-lo-ás, you will look for it (fam. sing.)
ele procurá-lo-á, he will look for it
você procurá-lo-á, you will look for it (polite sing.)
procurá-lo-emos, we will look for it
eles procurá-lo-ão, they will look for it
vocês procurá-lo-ão, you will look for it (polite pl.)
falar-lhe-ei, I will speak to him
falar-lhe-ás, you will speak to him (fam. sing.)
ele falar-lhe-á, he will speak to him
você falar-lhe-á, you will speak to him (polite sing.)
falar-lhe-emos, we will speak to him
eles falar-lhe-ão, they will speak to him
vocês falar-lhe-ão, you will speak to him (polite pl.)
eu falaria, I would speak
falarias, you would speak (fam. sing.)
ele falaria, he would speak
você falaria, you would speak (polite sing.)
falaríamos, we would speak
eles falariam, they would speak
vocês falariam, you would speak (polite pl.)
deito-me, I lie down
deitas-te, you lie down (fam. sing.)
ele deita-se, he lies down
você deita-se, you lie down (polite sing.)
deitamo-nos, we lie down
eles deitam-se, they lie down
vocês deitam-se, you lie down (polite pl.)
deitei-me, I lay down
deitava-me, I was lying down
tinha-me deitado, I had lain down (spoken)
deitar-me-ei, I will lie down
deitar-me-ia, I would lie down
deite-se, lie down! (polite sing.)
fui, I went, I was (ser, pretérito perfeito)
eu ia, I was going
estive, I was (estar, pretérito perfeito)
eu estava, I was (estar, pretérito imperfeito)
tive, I had
eles dão, they give
eles davam, they were giving
eles deram, they gave, they had given (literary)
faço, I do
eu fazia, I was doing
fiz, I did
ele fez, he did
eu seria, I would be (ser)
eu estaria, I would be (estar)
eu escrevera, I had written (literary)
ver, to see
vir, to come
venho, I come
eu vinha, I was coming
vim, I came
ele veio, he came
vínhamos, we were coming
vimos, we come, we saw
viemos, we came
ele vê, he sees
ele via, he was seeing
ele viu, he saw
vemos, we see
vejo, I see
vi, I saw
eu via, I was seeing
eles veem, they see
eles viram, they saw, they had seen (literary)
eles viam, they were seeing
eles vieram, they came, they had come (literary)
eles vinham, they were coming
eles vêm, they come
dou, I give
dás, you give (fam. sing.)
ele dá, he gives
damos, we give
eu dava, I was giving
davas, you were giving (fam. sing.)
ele dava, he was giving
dávamos, we were giving
dei, I gave
deste, you gave (fam. sing.)
ele deu, he gave
demos, we gave, let's give
dê, give! (polite sing.)
deem, give! (polite pl.)
ele faz, he does
fazemos, we do
eles fazem, they do
fazes, you do (fam. sing.)
fizeste, you did (fam. sing.)
fizemos, we did
eles fizeram, they did, they had done (literary)
eu faria, I would do
farei, I will do
farás, you will do (fam. sing.)
ele fará, he will do
faremos, we will do
eles farão, they will do
fiquei, I stayed
fico, I stay
ele ficou, he stayed
ele fica, he stays
você fica, you stay (polite sing.)
ponho, I put (presente)
pões, you put (fam. sing., presente)
ele põe, he puts
pomos, we put (presente)
eles põem, they put (presente)
pus, I put (pretérito perfeito)
puseste, you put (fam. sing., pretérito perfeito)
ele pôs, he put
pusemos, we put (pretérito perfeito)
eles puseram, they put (pretérito perfeito), they had put (literary)
eu punha, I was putting
punhas, you were putting (fam. sing.)
ele punha, he was putting
púnhamos, we were putting
eles punham, they were putting
posso, I can
podes, you can (fam. sing.)
ele pode, he can
podemos, we can
eles podem, they can
pude, I was able (pretérito perfeito)
pudeste, you were able (fam. sing., pretérito perfeito)
ele pôde, he was able (pretérito perfeito)
pudemos, we were able (pretérito perfeito)
eles puderam, they were able (pretérito perfeito), they had been able (literary)
vou, I go
vais, you go (fam. sing.)
ele vai, he goes
vamos, we go
eles vão, they go
ele ia, he was going
ias, you were going (fam. sing.)
íamos, we were going
eles iam, they were going
foste, you went (fam. sing.), you were (fam. sing., ser, pretérito perfeito)
ele foi, he went, he was (ser, pretérito perfeito)
fomos, we went, we were (ser, pretérito perfeito)
eles foram, they went, they had gone (literary), they were (ser, pretérito perfeito), they had been (ser, literary)
ele esteve, he was (estar, pretérito perfeito)
sou, I am (ser)
és, you are (fam. sing., ser)
ele é, he is (ser)
somos, we are (ser)
eles são, they are (ser)
eu era, I was (ser, pretérito imperfeito)
eras, you were (fam. sing., ser, pretérito imperfeito)
ele era, he was (ser, pretérito imperfeito)
éramos, we were (ser, pretérito imperfeito)
eles eram, they were (ser, pretérito imperfeito)
estou, I am (estar)
estás, you are (fam. sing., estar)
ele está, he is (estar)
estamos, we are (estar)
eles estão, they are (estar)
estiveste, you were (fam. sing., estar, pretérito perfeito)
estivemos, we were (estar, pretérito perfeito)
eles estiveram, they were (estar, pretérito perfeito), they had been (estar, literary)
tenho, I have
tens, you have (fam. sing.)
ele tem, he has
temos, we have
eles têm, they have
eu tinha, I was having
tinhas, you were having (fam. sing.)
ele tinha, he was having
tínhamos, we were having
eles tinham, they were having
tiveste, you had (fam. sing.)
ele teve, he had
tivemos, we had
eles tiveram, they had, they had had (literary)
sei, I know
eu sabia, I was knowing
eu soube, I knew
soubeste, you knew (fam. sing.)
ele soube, he knew
soubemos, we knew
eles souberam, they knew, they had known (literary)
digo, I say
dizes, you say (fam. sing.)
ele diz, he says
dizemos, we say
eles dizem, they say
eu disse, I said
disseste, you said (fam. sing.)
ele disse, he said
dissemos, we said
eles disseram, they said, they had said (literary)
diga, say! (polite sing.)
digamos, let's say
digam, say! (polite pl.)
trago, I bring
ele traz, he brings
eu trazia, I was bringing
eu trouxe, I brought
trouxeste, you brought (fam. sing.)
ele trouxe, he brought
trouxemos, we brought
eles trouxeram, they brought, they had brought (literary)
traga, bring! (polite sing.)
tragamos, let's bring
tragam, bring! (polite pl.)
levo, I take
levas, you take (fam. sing.)
ele leva, he takes
levamos, we take
levámos, we took
eles levam, they take
levei, I took
levaste, you took (fam. sing.)
ele levou, he took
eles levaram, they took, they had taken (literary)
leve, take! (polite sing.)
levemos, let's take
levem, take! (polite pl.)
quero, I want
queres, you want (fam. sing.)
ele quer, he wants
queremos, we want
eles querem, they want
eu queria, I was wanting
eu quisera, I had wanted (literary)
eu quereria, I would want
quererei, I will want
eu quis, I wanted
quiseste, you wanted (fam. sing.)
ele quis, he wanted
quisemos, we wanted
eles quiseram, they wanted, they had wanted (literary)
viste, you saw (fam. sing.)
vias, you were seeing (fam. sing.)
vês, you see (fam. sing.)
o feriado, holiday
as férias, vacation
eu soubera, I had known (literary)
saio, I exit
sais, you exit (fam. sing.)
ele sai, he exits
saímos, we exit, we exited
eles saem, they exit
saí, I exited
saíste, you exited (fam. sing.)
ele saiu, he exited
eles saíram, they exited, they had exited (literary)
eu saía, I was exiting
saías, you were exiting (fam. sing.)
ele saía, he was exiting
saíamos, we were exiting
eles saíam, they were exiting
faça, do! (polite sing.)
façam, do! (polite pl.)
façamos, let's do
eu fora, I had gone (literary), I had been (ser, literary)
foras, you had gone (fam. sing., literary), you had been (fam. sing., ser, literary)
ele fora, he had gone (literary), he had been (ser, literary)
fôramos, we had gone (literary), we had been (ser, literary)
pretender, to intend
cumprir, to comply, to fulfill
meter, to insert
eleger, to elect
retirar, to remove, to withdraw
erguer, to erect, to raise
pegar, to catch, to grab
pagar, to pay
permanecer, to continue, to remain
promover, to foster, to promote, to sponsor
perceber, to realize, to understand
conseguir, to achieve, to acquire
surgir, to arise, to emerge
buscar, to fetch, to search
atravessar, to cross, to traverse
montar, to assemble, to mount
manter, to keep, to maintain
mantenho, I maintain
manténs, you maintain (fam. sing.)
ele mantém, he maintains
mantemos, we maintain
eles mantêm, they maintain
mantive, I maintained
mantiveste, you maintained (fam. sing.)
ele manteve, he maintained
mantivemos, we maintained
eles mantiveram, they maintained, they had maintained (literary)
eu mantinha, I was maintaining
mantinhas, you were maintaining (fam. sing.)
ele mantinha, he was maintaining
mantínhamos, we were maintaining
eles mantinham, they were maintaining
eu manteria, I would maintain
manterei, I will maintain
eu mantivera, I had maintained (literary)
mantiveras, you had maintained (fam. sing., literary)
ele mantivera, he had maintained (literary)
mantivéramos, we had maintained (literary)
derreter, to melt
eu podia, I was able (pretérito imperfeito)
podias, you were able (fam. sing., pretérito imperfeito)
ele podia, he was able (pretérito imperfeito)
podíamos, we were able (pretérito imperfeito)
eles podiam, they were able (pretérito imperfeito)
dó bemol, Cb
dó, C
dó sustenido, C#
ré bemol, Db
ré, D
ré sustenido, D#
mi bemol, Eb
mi, E
mi sustenido, E#
fá bemol, Fb
fá, F
fá sustenido, F#
sol bemol, Gb
sol, G
sol sustenido, G#
lá bemol, Ab
lá, A
lá sustenido, A#
si bemol, Bb
si, B
si sustenido, B#
eu falara, I had spoken (literary)
falaras, you had spoken (fam. sing., literary)
ele falara, he had spoken (literary)
faláramos, we had spoken (literary)
eu vendera, I had sold (literary)
venderas, you had sold (fam. sing., literary)
ele vendera, he had sold (literary)
vendêramos, we had sold (literary)
eu partira, I had departed (literary)
partiras, you had departed (fam. sing., literary)
ele partira, he had departed (literary)
partíramos, we had departed (literary)
eu fizera, I had done (literary)
fizeras, you had done (fam. sing., literary)
ele fizera, he had done (literary)
fizéramos, we had done (literary)
espero que eu fale, I hope that I speak
espero que fales, I hope that you speak (fam. sing.)
espero que ele fale, I hope that he speaks
espero que falemos, I hope that we speak
espero que eles falem, I hope that they speak
se eu falasse, if I spoke
se falasses, if you spoke (fam. sing.)
se ele falasse, if he spoke
se falássemos, if we spoke
se eles falassem, if they spoke
assim que eu falar, as soon as I speak
assim que falares, as soon as you speak (fam. sing.)
assim que ele falar, as soon as he speaks
assim que falarmos, as soon as we speak
assim que eles falarem, as soon as they speak
espero que eu venda, I hope that I sell
espero que vendas, I hope that you sell (fam. sing.)
espero que ele venda, I hope that he sells
espero que vendamos, I hope that we sell
espero que eles vendam, I hope that they sell
se eu vendesse, if I sold
se vendesses, if you sold (fam. sing.)
se ele vendesse, if he sold
se vendêssemos, if we sold
se eles vendessem, if they sold
assim que eu vender, as soon as I sell
assim que venderes, as soon as you sell (fam. sing.)
assim que ele vender, as soon as he sells
assim que vendermos, as soon as we sell
assim que eles venderem, as soon as they sell
espero que eu parta, I hope that I depart
espero que partas, I hope that you depart (fam. sing.)
espero que ele parta, I hope that he departs
espero que partamos, I hope that we depart
espero que eles partam, I hope that they depart
se eu partisse, if I departed
se partisses, if you departed (fam. sing.)
se ele partisse, if he departed
se partíssemos, if we departed
se eles partissem, if they departed
assim que eu partir, as soon as I depart
assim que partires, as soon as you depart (fam. sing.)
assim que ele partir, as soon as he departs
assim que partirmos, as soon as we depart
assim que eles partirem, as soon as they depart
espero que eu vá, I hope that I go
espero que vás, I hope that you go (fam. sing.)
espero que ele vá, I hope that he goes
espero que vamos, I hope that we go
espero que eles vão, I hope that they go
se eu fosse, if I went, if I was (ser)
se fosses, if you went (fam. sing.), if you were (fam. sing., ser)
se ele fosse, if he went, if he was (ser)
se fôssemos, if we went, if we were (ser)
se eles fossem, if they went, if they were (ser)
assim que eu for, as soon as I go, as soon as I am (ser)
assim que fores, as soon as you go (fam. sing.), as soon as you are (fam. sing., ser)
assim que ele for, as soon as he goes, as soon as he is (ser)
assim que formos, as soon as we go, as soon as we are (ser)
assim que eles forem, as soon as they go, as soon as they are (ser)
espero que eu seja, I hope that I am (ser)
espero que sejas, I hope that you are (fam. sing., ser)
espero que ele seja, I hope that he is (ser)
espero que sejamos, I hope that we are (ser)
espero que eles sejam, I hope that they are (ser)
espero que eu esteja, I hope that I am (estar)
espero que estejas, I hope that you are (fam. sing., estar)
espero que ele esteja, I hope that he is (estar)
espero que estejamos, I hope that we are (estar)
espero que eles estejam, I hope that they are (estar)
se eu estivesse, if I was (estar)
se estivesses, if you were (fam. sing., estar)
se ele estivesse, if he was (estar)
se estivéssemos, if we were (estar)
se eles estivessem, if they were (estar)
assim que eu estiver, as soon as I am (estar)
assim que estiveres, as soon as you are (fam. sing., estar)
assim que ele estiver, as soon as he is (estar)
assim que estivermos, as soon as we are (estar)
assim que eles estiverem, as soon as they are (estar)
espero que eu tenha, I hope that I have
espero que tenhas, I hope that you have (fam. sing.)
espero que ele tenha, I hope that he has
espero que tenhamos, I hope that we have
espero que eles tenham, I hope that they have
se eu tivesse, if I had
se tivesses, if you had (fam. sing.)
se ele tivesse, if he had
se tivéssemos, if we had
se eles tivessem, if they had
assim que eu tiver, as soon as I have
assim que tiveres, as soon as you have (fam. sing.)
assim que ele tiver, as soon as he has
assim que tivermos, as soon as we have
assim que eles tiverem, as soon as they have
perdurar, to endure, to linger, to persist
esgotar, to deplete, to exhaust
magoar, to hurt, to upset
não faz mal, no worries
foi sem querer, my bad
o ensejo, intention, occasion, opportunity
figurar, to appear, to represent
a vizinhança, neighborhood, vicinity
ríspido, harsh
soltar, to drop, to loosen, to release
arrastar, to drag, to pull
pressentir, to foresee, to sense
insinuar, to imply, to insinuate
claro, clear, light
torto, crooked, uneven
esticar, to stretch
frouxo, loose
passear, to stroll
a parede, wall
parado, stationary, still, stuck
a parada, break, pause, stop
a desvantagem, disadvantage
despedir, to dismiss, to lay off
ocupado, busy
o problema, problem
o diagrama, diagram
a região, region
a ponte, bridge
a inveja, envy
o enfermeiro, nurse
o feitio, personality
o canalha, scoundrel
o engano, mistake
o equívoco, misconception
a tolice, nonsense
a mesquinharia, pettiness
o fedor, stench
destrancar, to unlock
abafado, muffled, stuffy
o trago, mouthful
arejar, to aerate
desgastante, grueling, tiring
a faxina, house-cleaning
ansioso, anxious, eager
assoalhar, to plank over
intrometer, to intrude
viver, to live
o boato, rumor
propor, to offer, to propose
arremessar, to hurl, to throw
encabular, to embarrass
irritado, angry
zangar-se, to get angry
o carvão, coal
intrigar, to intrigue, to puzzle
o gatilho, trigger
o surto, burst, outbreak, surge
tirar, to take off
a fonte, source
obcecar, to obsess
o bezerro, calf
bizarro, bizarre
a pulga, flea
a orelha, ear
a pegadinha, prank
encerrar, to close, to wrap up
o recado, message
ciente, aware
leio, I read (presente)
lês, you read (fam. sing., presente)
ele lê, he reads
lemos, we read (presente), we read (pretérito, perfeito)
eles leem, they read (presente)
espero que eu leia, I hope that I read
espero que leias, I hope that you read (fam. sing.)
espero que ele leia, I hope that he reads
espero que leiamos, I hope that we read
espero que eles leiam, I hope that they read
se eu lesse, if I read
se lesses, if you read (fam. sing.)
se ele lesse, if he read
se lêssemos, if we read
se eles lessem, if they read
leia, read! (polite sing.)
leiamos, let's read
leiam, read! (polite pl.)
apagar, to delete, to erase
o homem grande, large man
o grande homem, great man
evitar, to avoid, to prevent, to shun
o rumo, direction, tack
o ramo, branch
o percurso, course, path
o trajecto, route
pacato, calm, quiet
a amizade, friendship
a oportunidade, chance
a vez, instance
faz favor, excuse me
o dia, day
o cartão, card
prender, to arrest
aprender, to learn
apreender, to comprehend
suceder, to come next, to happen
o carinho, affection, tenderness
a realização, accomplishment, achievement
consentir, to allow, to approve
o relato, account, report, story
afastar, to move away
apertar, to press, to squeeze, to tighten
apertado, cramped, tight
abalado, shaken, shocked, undermined
abalar, to shake, to shock, to undermine
disposto, ready, willing
avidamente, eagerly, greedily
a faísca, spark
a travessura, mischief
a bronca, reprimand
ralhar, to scold
sumir, to disappear, to fade
a sacada, balcony, practical advice
sorrir, to smile
o constrangimento, embarrassment
esconder, to hide
escolher, to select
fundir, to merge
findar, to end
fingir, to fake, to pretend
subir, to climb, to increase
a folha, leaf, sheet of paper
atônito, astonished
despencar, to nosedive, to plummet
o gole, sip
o pires, saucer
doer, to ache, to hurt
doar, to donate
a soneca, nap, snooze
elogiar, to praise
ajoelhar-se, to kneel down
alegrar-se, to become happy, to cheer up
apaixonar-se, to fall in love
arrepender-se, to regret
arrumar-se, to get dressed, to get ready
assustar-se, to get scared
barbear-se, to shave
chamar-se, to be named
deitar-se, to lie down, to go to bed
despedir-se, to say goodbye
dirigir-se, to address someone, to make your way somewhere
divertir-se, to have fun
emocionar-se, to get emotional
enganar-se, to be mistaken, to be wrong
enxugar-se, to dry oneself
esquecer-se, to forget
lembrar-se, to remember
levantar-se, to get up
machucar-se, to get hurt
maquiar-se, to put makeup on
ofender-se, to become offended
pentear-se, to comb one's hair
preocupar-se, to worry
sentar-se, to sit
sentir-se, to feel a certain way
suicidar-se, to commit suicide
trocar-se, to get changed
vestir-se, to get dressed
virar-se, to turn around
o caçula, youngest child
rodar, to run, to swivel
espalhar, to scatter, to spread out
rolar, to roll, to scroll
descontrair, to relax, to unwind
descontraído, casual, relaxed
úmido, humid, wet
aguado, watery
o mato, bush
encostar, to pull over
largado, dropped
a mata, forest
arrepiar, to get goose bumps, to shiver
a ferrugem, rust
o colchão, mattress
a régua, ruler
aborrecer, to annoy, to bother
vasculhar, to scavenge
rouco, hoarse
a voz, voice
cogitar, to consider, to deliberate
arrasar, to crush, to destroy
através de, through
a redação, essay, writing
fracassar, to fail
apressar, to hurry
o tecto, ceiling
o tecido, fabric
o pano, cloth, rag
o local, location, place
o prado, meadow
decidir, to conclude, to decide
o condado, county
a si próprio, oneself
golpear, to strike
segurar, to hold, to insure
instalar, to establish
assegurar, to secure
o avanço, development, stride
puxar, to pull
empurrar, to push
o batido, smoothie
a batida, crash, strike
o fardo, burden
a gentileza, kindness
o receio, fear, worry
recear, to fear
escorrer, to drip, to trickle
efectuar, to put into action, to perform
o encanto, allure, charm
recorrer, to appeal to, to turn to
a aposta, bet, gamble
precipitar, to cause an event to happen suddenly
agudo, acute, sharp
prever, to anticipate, to predict
rebentar, to burst
acolher, to receive, to welcome
retratar, to depict, to portray
o visto, visa
a vista, sight, view
pisar, to step
perder, to lose, to misplace
desperdiçar, to waste
prover, to provide
provir, to originate from
o camaleão, chameleon
a ave, bird
a tarde, afternoon, evening
tarde, late
escorregar, to slip
o relance, glimpse
o vislumbre, glimmer
safada, naughty
regrado, orderly
